category,to_geocode,google_maps_address,latitude,longitude,electricity_kwh_2014,electricity_kwh_2015,electricity_kwh_2016,electricity_kwh_2017,electricity_kwh_2018,gas_kwh_2014,gas_kwh_2015,gas_kwh_2016,gas_kwh_2017,gas_kwh_2018
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 7 ireland,,,,1171.0,2724.0,702.0,1035.0,1169.0,3848.83,9539.55,3442.93,4170.85,6979.68
Education Building,christ the king schools Dublin 7 ireland,"Christ the King Boys National School, Annaly Rd, Cabra East, Dublin 7, Ireland",53.3635813,-6.2852414,41692.0,56876.0,46608.0,54133.0,46675.0,165669.44,219207.65,174683.12,170793.7,220169.18
Education Building,christ the king schools Dublin 7 ireland,"Christ the King Boys National School, Annaly Rd, Cabra East, Dublin 7, Ireland",53.3635813,-6.2852414,41692.0,56876.0,46608.0,54133.0,46675.0,165669.44,219207.65,174683.12,170793.7,220169.18
Education Building,christian brothers college monkstown park Co. Dublin ireland,"Mounttown Road Upper, Dún Laoghaire, Dublin, Ireland",53.2899387,-6.1482453,141680.0,140100.03,143199.98,146149.98,154800.0,130448.59,161143.655,167922.635,136034.23,132643.16
Education Building,"christian brothers, synge st Dublin 8 ireland","Synge St, Saint Kevin's, Dublin, Ireland",53.3335723,-6.2681145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education Building,cill coscain Co. Dublin ireland,,,,22922.0,29418.0,19122.0,21145.0,22031.0,,,,,
Office Building,citizens information board Dublin 1 ireland,,,,188635.02,178798.0,157110.02,157109.02,153658.0,,,,,
Office Building,citizens information board Dublin 24 ireland,,,,24807.01,24432.02,21761.0,12067.0,19958.0,,,,,
Education Building,city of dublin education & training board Co. Dublin ireland,,,,,,,,,126706.90285714286,131431.06571428574,128686.27857142856,127127.10714285714,151513.57857142857
Education Building,city of dublin education & training board Co. Dublin ireland,,,,,,,,,126706.90285714286,131431.06571428574,128686.27857142856,127127.10714285714,151513.57857142857
Education Building,city of dublin education & training board Co. Dublin ireland,,,,,,,,,126706.90285714286,131431.06571428574,128686.27857142856,127127.10714285714,151513.57857142857
Education Building,city of dublin education & training board Co. Dublin ireland,,,,,,,,,126706.90285714286,131431.06571428574,128686.27857142856,127127.10714285714,151513.57857142857
Education Building,city of dublin education & training board Co. Dublin ireland,,,,,,,,,126706.90285714286,131431.06571428574,128686.27857142856,127127.10714285714,151513.57857142857
Education Building,city of dublin education & training board Co. Dublin ireland,,,,,,,,,126706.90285714286,131431.06571428574,128686.27857142856,127127.10714285714,151513.57857142857
Office Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Other Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 1 ireland,,,,53127.82636363636,55010.54636363637,54027.91272727273,48694.634545454544,48488.545454545456,56901.16666666666,75337.295,71986.815,59234.33833333334,65911.99666666666
Education Building,city of dublin education & training board Dublin 10 ireland,,,,121038.34555555556,118101.4577777778,117190.55444444444,120688.21888888888,119208.11111111112,259521.1377777778,248483.16222222225,232999.0255555556,233687.4522222222,285395.6044444444
Education Building,city of dublin education & training board Dublin 10 ireland,,,,121038.34555555556,118101.4577777778,117190.55444444444,120688.21888888888,119208.11111111112,259521.1377777778,248483.16222222225,232999.0255555556,233687.4522222222,285395.6044444444
Education Building,city of dublin education & training board Dublin 10 ireland,,,,121038.34555555556,118101.4577777778,117190.55444444444,120688.21888888888,119208.11111111112,259521.1377777778,248483.16222222225,232999.0255555556,233687.4522222222,285395.6044444444
Education Building,city of dublin education & training board Dublin 10 ireland,,,,121038.34555555556,118101.4577777778,117190.55444444444,120688.21888888888,119208.11111111112,259521.1377777778,248483.16222222225,232999.0255555556,233687.4522222222,285395.6044444444
Education Building,city of dublin education & training board Dublin 10 ireland,,,,121038.34555555556,118101.4577777778,117190.55444444444,120688.21888888888,119208.11111111112,259521.1377777778,248483.16222222225,232999.0255555556,233687.4522222222,285395.6044444444
Education Building,city of dublin education & training board Dublin 10 ireland,,,,121038.34555555556,118101.4577777778,117190.55444444444,120688.21888888888,119208.11111111112,259521.1377777778,248483.16222222225,232999.0255555556,233687.4522222222,285395.6044444444
Education Building,city of dublin education & training board Dublin 11 ireland,,,,244846.07625,245407.67375,247929.905,243855.12,270916.5,360021.754,454050.924,436439.916,403238.018,486437.774
Education Building,city of dublin education & training board Dublin 11 ireland,,,,244846.07625,245407.67375,247929.905,243855.12,270916.5,360021.754,454050.924,436439.916,403238.018,486437.774
Education Building,city of dublin education & training board Dublin 11 ireland,,,,244846.07625,245407.67375,247929.905,243855.12,270916.5,360021.754,454050.924,436439.916,403238.018,486437.774
Education Building,city of dublin education & training board Dublin 11 ireland,,,,244846.07625,245407.67375,247929.905,243855.12,270916.5,360021.754,454050.924,436439.916,403238.018,486437.774
Education Building,city of dublin education & training board Dublin 11 ireland,,,,244846.07625,245407.67375,247929.905,243855.12,270916.5,360021.754,454050.924,436439.916,403238.018,486437.774
Education Building,city of dublin education & training board Dublin 11 ireland,,,,244846.07625,245407.67375,247929.905,243855.12,270916.5,360021.754,454050.924,436439.916,403238.018,486437.774
Education Building,city of dublin education & training board Dublin 12 ireland,,,,232564.6275,239237.89625,241403.2025,246725.10875,248598.75,105799.83285714289,121296.58,115492.59571428572,99710.9457142857,119818.07142857143
Education Building,city of dublin education & training board Dublin 12 ireland,,,,232564.6275,239237.89625,241403.2025,246725.10875,248598.75,105799.83285714289,121296.58,115492.59571428572,99710.9457142857,119818.07142857143
Education Building,city of dublin education & training board Dublin 12 ireland,,,,232564.6275,239237.89625,241403.2025,246725.10875,248598.75,105799.83285714289,121296.58,115492.59571428572,99710.9457142857,119818.07142857143
Education Building,city of dublin education & training board Dublin 12 ireland,,,,232564.6275,239237.89625,241403.2025,246725.10875,248598.75,105799.83285714289,121296.58,115492.59571428572,99710.9457142857,119818.07142857143
Education Building,city of dublin education & training board Dublin 12 ireland,,,,232564.6275,239237.89625,241403.2025,246725.10875,248598.75,105799.83285714289,121296.58,115492.59571428572,99710.9457142857,119818.07142857143
Education Building,city of dublin education & training board Dublin 12 ireland,,,,232564.6275,239237.89625,241403.2025,246725.10875,248598.75,105799.83285714289,121296.58,115492.59571428572,99710.9457142857,119818.07142857143
Education Building,city of dublin education & training board Dublin 12 ireland,,,,232564.6275,239237.89625,241403.2025,246725.10875,248598.75,105799.83285714289,121296.58,115492.59571428572,99710.9457142857,119818.07142857143
Education Building,city of dublin education & training board Dublin 13 ireland,,,,175550.0,163950.02,167050.0,160950.0,156850.0,,,,,
Education Building,city of dublin education & training board Dublin 17 ireland,,,,149835.5475,141103.92,131672.415,129075.0425,128619.75,193317.315,243054.7225,203598.54,147421.0775,136396.605
Education Building,city of dublin education & training board Dublin 17 ireland,,,,149835.5475,141103.92,131672.415,129075.0425,128619.75,193317.315,243054.7225,203598.54,147421.0775,136396.605
Education Building,city of dublin education & training board Dublin 17 ireland,,,,149835.5475,141103.92,131672.415,129075.0425,128619.75,193317.315,243054.7225,203598.54,147421.0775,136396.605
